"Data Source","World Development Indicators",

"Last Updated Date","2025-06-05",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Azerbaijan","AZE","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0100121372172","0.745690635165157","0.554577575081754","0.643158756974744","0.708524918309099","1.07838678028922","1.01363467521598","0.76992639131154","1.05979199948794","1.61252949122201","1.68167004275216","2.25667778533984","1.31022626957209","1.64007471072208","2.19420614607095","","",
"Burundi","BDI","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.02252500434176","3.31611868100153","3.27045753607625","2.84415584233269","3.28100702824116","3.42484979642496","3.07079364013568","2.6438559376764","3.31147508130443","3.03135069201789","3.9188319759325","3.44062451295999","3.50219738111103","3.97052145421519","4.38481386478686","4.97374480512187","6.34207289289868","","",
"Benin","BEN","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0299010343719186","0.0378002787111248","0.0372521772301069","0.0424272768670216","0.0396513075965131","0.0553780264236157","0.143396676524954","0.192100710065842","0.26551092150728","0.529253779399537","0.52827945438519","0.5404955529556","0.514474982548202","0.546514525368988","0.621098071035173","0.847344604644723","0.763956635842757","","",
"Burkina Faso","BFA","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.283855322996945","0.319403769656399","","","","","","",
"Bangladesh","BGD","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.073662485316491","0.0773594510856706","0.0713379412650015","0.0410423181626196","","","","","","",
"Bulgaria","BGR","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.11755306184999","1.60284794351031","5.97534335943139","7.36362739883702","8.43382675593588","8.3274393176028","8.29056238777625","9.08443147405842","10.1322401344148","10.2120888272155","10.2071002971346","9.65421324759776","7.94442636212316","9.04244189835485","9.72141458263239","","",
"Bahrain","BHR","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.53833361051056","1.80570557052517","1.87007467312063","1.23840438133625","1.45071918632003","1.2890355088166","1.41567380183091","1.46132187934356","1.42307015271056","2.02596018190658","5.19941209623056","4.43793555129397","4.29664421471387","3.74691705229775","3.24243888024828","4.99351910696525","6.60596242362107","","",
"Bahamas, The","BHS","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.699904759795344","0.728187425453737","0.72458011021868","0.710709395282725","0.750502836900724","0.878581763817021","0.946615838191039","1.16645339720225","1.02672957301891","1.07236507040703","1.11733951240655","0.997589494384587","1.35237158293244","1.48070083725638","","",
"Belarus","BLR","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.280960380711004","0.569366756851181","0.769703699820323","0.850646358737846","0.953678697464771","0.907208967049147","1.15570426801857","1.36300453965633","1.07283968543894","0.937353995004265","0.994494458869368","1.22575561885222","1.36774474298661","1.37860172977504","1.1530541770604","1.31708362970551","1.28588790642156","","",
"Belize","BLZ","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.26832498087878","4.41004013632034","3.09709361934966","3.09589588768664","4.94831485137736","4.12794229490632","3.70677168415158","2.93517958369743","2.93290809786788","2.95753136839618","3.18796696330761","3.04881703501544","2.99600662316159","2.55815904048067","3.7492422938478","4.12506703693092","","",
"Bermuda","BMU","New business density (new registrations per 1,000 people ages 15-64)","IC.BUS.NDNS.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
